qid,query
3077023#0,美国人口最多的州是哪一州？
1371559#0,陈慧琳一共发行过多少张专辑？
4878183#0,中国有多少种方言？
941665#0,香港有多少码头？
2729552#0,成都有多少乡镇？
7303307#0,世界有哪些生物多样性组织？
1697896#0,中国博奇环保科技（控股）有限公司有多少员工？
5711586#0,网易有道公司有哪些主要业务？
3016964#0,迈阿密人口有多少？
2820225#0,哪些国家盛产葡萄酒？
5597555#0,音熊联萌创始人有谁？
178658#0,辽宁有哪些少数民族？
7114938#0,彗星有哪些观测方法？
7135386#0,惠州市人口多少？
1192413#0,伊朗有哪些政治家？
5028399#0,朝鲜现任领导人是谁？
4226703#0,中国有哪些互联网平台？
92020#0,西藏有哪些山脉？
5799327#0,中国有哪些船舶公司？
81996#0,中国适用什么法系？
133856#0,2020年台湾有哪些政党？
1210706#0,山东省有哪些民国人物？
6956761#0,吉林省省会是哪里？
130793#0,潮汕有哪些美食？
4441822#0,《鲁滨逊漂流记》讲述了什么故事？
5785892#0,俄罗斯最大的淡水湖是哪一个？
954776#0,日本电车有哪些颜色？
1038784#0,中国有哪些山水画？
5971443#0,缅甸有哪些邻国？
3112480#0,法国盛产什么酒？
7540219#0,爱尔兰有哪些建筑？
765341#0,20世纪日本有哪些编曲家？
1136283#0,波兰于哪一年建国？
291579#0,俄罗斯最大的城市是哪里？
35690#0,中国哲学经历了哪些发展阶段？
95653#0,自然科学有哪些门类
260243#0,香港有哪些财经杂志？
1495238#0,穆罕默德信仰什么宗教？
3492911#0,鲸鱼可以分为哪些种类？
711037#0,秦始皇时期有哪些著名将军？
5867443#0,中国有哪些虚拟歌手？
22524#0,三国时魏国有哪些将领？
1206438#0,世界上有哪些雌雄同体生物？
5971724#0,德国有哪些心理学家？
5731087#0,北京市有哪些地标建筑？
4071976#0,披头士乐队歌曲总销量多少？
103874#0,台湾有哪些山脉？
7295326#0,鸦片战争时中国在位的皇帝是谁？
1721904#0,中国有哪些跆拳道运动员？
2792411#0,计算机网络有哪些分类？
5624955#0,中国有哪些月球探测仪？
7575307#0,岐阜县人口多少？
1489141#0,网球有哪些国际赛事？
787766#0,中国有哪些基督教会？
3368270#0,IUCN总部在哪里？
1079517#0,世界杯隔多久举办？
552075#0,白垩纪有哪些生物？
3598812#0,巴西狂欢节在什么时间举办？
6859051#0,日本有哪些化学家获得过诺贝尔奖？
202033#0,雷曼兄弟创始人是谁？
6018013#0,捷克位于哪一大洲？
1245821#0,埃塞尔比亚面积多大？
2792576#0,印度属于什么气候？
4361621#0,河南有哪些美食？
1672618#0,内蒙古有哪些特产？
7728204#0,Youll Melt More的成员有多少人？
525619#0,英国人名有哪几个部分组成？
1569597#0,英格兰足球联赛冠军有谁？
499348#0,《三国演义》作者是谁？
1703186#0,有哪些与星际舰队有关的小说？
4922415#0,罗马有哪些天主教建筑？
3116058#0,法国有多少城镇？
1012487#0,罗马有多少天主教堂？
6145207#0,长茎柴胡有哪些形态特征？
4760129#0,进化人类学经历了哪些发展历程？
4808471#0,巴西狂欢节有哪些习俗？
292780#0,塑胶有哪些原料？
5472900#0,长江有哪些支流？
3535660#0,印度洋有哪些国家？
1560848#0,明朝的首都在哪里？
502555#0,贵州有哪些车站？
7662667#0,福井县有多少车站？
5289389#0,叙利亚总人口多少？
5504156#0,美国现任司法部长是谁？
6123279#0,意大利信仰什么宗教？
9248#0,中国南朝有哪些皇帝？
1040955#0,唐朝与那些国家有往来？
3104421#0,法国有哪些国际企业？
5672800#0,光绪年间发生过什么大事？
1123144#0,中国哪些省生产大蒜？
1030283#0,上海有哪些区？
6041191#0,字节跳动旗下有哪些子公司？
7031553#0,俄罗斯国防部部长是谁？
1196567#0,狐臭有哪些治疗手段？
3117617#0,法国有多少市镇？
1275413#0,苏联有哪些科学家？
1011097#0,清朝有哪些小说家？
4009903#0,IUCN哪一年成立？
6369371#0,辛巴企业在哪一国爆发？
6280515#0,2018年亚运会在哪里举办？
5648243#0,微软有哪些产品？
1027389#0,强串光鱼在中国哪一海域分布？
146222#0,道教的创始人是谁？
33948#0,木星的卫星发现者是谁？
1245153#0,香港有哪些搞笑艺人？
5999883#0,非洲有多少国家？
3740563#0,美国男子跳高获得过哪些奖项？
2952512#0,中国第一位航天员是谁？
3069539#0,俄国军队有多少武器？
225428#0,美国心里学家有哪些著作？
3259704#0,台湾有哪些产业？
66110#0,中国信仰基督教最多的省份是？
1690612#0,日本樱花有哪些品种？
1081255#0,诺贝物理学奖有哪些得主？
186418#0,微软公司有哪些付费软件？
567242#0,细胞有哪些结构？
46137#0,瑞典有哪些报刊？
7088178#0,氟有哪些主要用途？
6077894#0,香港有哪些金像奖影帝？
7873384#0,孟加拉国的官方语言是什么？
3618479#0,贝尔曼方程有哪些应用领域？
3391087#0,第60届奥斯卡主持人是谁？
1691233#0,台湾气候有哪些特点？
1072144#0,瓦努阿图在哪一大洲？
1097917#0,中国有哪些网页浏览器？
1322889#0,李斯特菌最先是谁发现的？
4392365#0,日本铁道总部位于哪里？
5318934#0,联合国总部位于哪里？
3526482#0,佛教有哪些传说？
1692022#0,奥地利有什么气候特点？
4126725#0,计算机有哪些数据通道？
7467826#0,中国和瑞典哪一年建交？
6069959#0,石林彝族自治县人口多少？
1879141#0,希腊有哪些民族？
5889004#0,青岛啤酒创始人是谁？
7019284#0,德国最大湖泊在哪里？
5484990#0,太平洋飓风产生原因有哪些？
3354882#0,图像熵有哪些特征？
33621#0,台湾有哪些华裔歌手？
989912#0,马齿苋属有哪些生长习性？
7270569#0,浙江有多少古建筑？
1272895#0,俄罗斯人口密度多少？
7264803#0,美国铸币局有哪些职能？
3934333#0,古代五等爵都有哪些？
4358719#0,国家有哪些湿地公园？
1384589#0,世界上第一艘潜艇是哪个国家建造？
5590704#0,台湾的原住民人口有多少？
5674950#0,蝴蝶有哪些颜色？
314925#0,香港的著名旅游景点有哪些？
900441#0,英格兰国旗有哪几种颜色？
7662896#0,马来西亚的首都是哪里？
5739129#0,电池的型号有哪几种？
3758168#0,巴拿马运河位于哪里？
329807#0,古典音乐大师有哪些？
906298#0,2021年澳网在哪个城市举行？
1803001#0,台湾有哪些群族？
4761770#0,日本仙台地震经济损失多少？
1103824#0,世界上使用拉丁语的国家有哪些？
1830677#0,世界最大的公园是哪个？
7597248#0,2000年奥斯卡最佳电影是什么？
636702#0,中国以杏仁为原料的传统小吃有哪些？
424338#0,乔布斯哪一年创立了苹果公司？
476589#0,香港的著名旅游景点有哪些？
5290723#0,权力游戏的女主演是谁？
5181064#0,江苏省的省会是哪里？
352858#0,Twins组合成员有谁？
3158025#0,韩国组合BTS有几个成员？
6466162#0,中国第一架高铁是哪一条？
6504596#0,古希腊三贤是谁？
1418112#0,英格兰国旗有哪几种颜色？
1063929#0,南宋四大诗人有谁？
880614#0,中国民航有哪些公司？
1045671#0,雷达有哪些分类？
7155909#0,上海有哪些外资企业？
5077630#0,日本的女性向游戏有哪些种类？
41379#0,迪士尼公园位于哪些城市？
1131084#0,JR集团总部在哪里？
7335750#0,中国共产党哪一年成立？
7853725#0,辐射会产生哪些影响？
324511#0,汉字有哪些字体？
995394#0,贵州有哪些植被类型？
5186028#0,汤加政府领导人是谁？
110131#0,有哪些男性航天员？
5506765#0,奈良县有多久的历史？
923297#0,瑞典国旗有哪些颜色？
609967#0,香港有哪些大厦？
7056919#0,台湾有哪些电子产品？
518230#0,法国有哪些画家？
279666#0,内蒙古面积多大？
5684648#0,具体名词有哪些例子？
181991#0,英国辉格党有哪些代表人物？
4036143#0,西班牙最高山脉是哪座？
90545#0,赤纬有哪些变化规律？
1841546#0,世界有多少种类昆虫？
1508270#0,世界有哪些足球联赛？
7078773#0,中国有哪些社交媒体平台？
1523071#0,香港有哪些和大陆合作电视剧？
2941837#0,美国有多少生育旅行机构？
156405#0,德国信仰哪种宗教？
110485#0,中风有哪些防御手段？
531903#0,美国国土安全部部长是谁？
919080#0,南京总统府哪一年成立？
949268#0,塞琉古帝国哪一年灭亡？
1704417#0,《魔法禁书目录》的作者是谁？
7257611#0,香港最出名的男艺人有哪些？
615706#0,日本最南端的城市是什么？
4095625#0,甘肃有哪些景点？
6178764#0,“杀很大”是哪位台湾女星的广告词？
7188185#0,美国有多少电视台？
5614069#0,香港中文大学有多少专业？
690326#0,瑞士有哪些支柱产业？
1153952#0,清末有多位留学学者？
6676990#0,香港民主党有哪些思想？
133830#0,寄存器有哪些特征？
92327#0,平津战役伤亡人数多少？
939887#0,浙江西湖面积多大？
1025044#0,苹果公司有多少员工？
1124355#0,热带气旋一共多少等级？
514868#0,北京最高的楼是哪一座？
1662933#0,埃塞俄比亚信仰什么宗教？
953666#0,朝鲜第一任领导人叫什么名字？
3883453#0,葡萄牙曾经殖民过哪些国家？
541871#0,电影《指环王》的拍摄地在哪里？
677201#0,Unicode联盟哪一年成立？
7534198#0,爱迪生哪一年发明了灯泡？
5970223#0,抗生素有哪些作用？
559075#0,旧金山最高的大楼是哪一座？
989452#0,哈萨克斯坦属于什么气候？
4794258#0,血小板有哪些作用？
710857#0,韩国世界排名最高的大学是哪一所？
7582275#0,阿里山平均海拔多少？
5603238#0,荷兰有哪些党派？
5895853#0,节度使有哪些职能？
3008582#0,法国有多少省？
7524667#0,2020年APL传说对决超级职业联赛冠军是谁？
4386383#0,中国禅宗六祖惠能大师有多少弟子？
1526375#0,台湾花莲有多少人口？
1171611#0,日本有多少座寺庙？
3406319#0,中国足球联赛有哪些等级？
4769963#0,密苏里河全长多少？
21656#0,印度尼西亚首都是哪里？
5507374#0,加拿大最高的大楼是哪一栋？
7281420#0,拜登上一任美国总统是谁？
5948101#0,明朝有多少位皇帝？
3915903#0,德国有哪些山脉？
1171967#0,卡尔·魏尔施特拉斯有哪些贡献？
5199829#0,美国有哪些高尔夫比赛？
1463487#0,京沪铁路全场多少？
7155749#0,美国印地安纳州属于什么气候？
980329#0,中医有哪些治疗方法？
6843151#0,ESCP商业学院在哪一国家？
48760#0,数字信号处理主要应用在哪一产业？
535277#0,福建师范大学附属中学在哪一城市？
1254482#0,日本富士电视台有哪些综艺节目？
1128468#0,世界最多基督教徒的国家是哪里？
188481#0,怀化市有多少车站？
5413527#0,中国最北边的城市在哪里？
5590793#0,北斗企鹅的创始人是谁？
1846606#0,福音派信仰有哪些观点？
358014#0,雷霆881哪一年成立？
257962#0,功能饮料有哪些品牌？
7653200#0,龙芯中科有哪些产品？
80265#0,国立东华大学世界排名多少？
1023919#0,楼兰古城哪一年建立？
347209#0,释迦牟尼佛十大弟都有谁？
162039#0,印度本地治里联邦属地的四个组成地区有哪些？
1484730#0,汤姆猫与杰里鼠是哪家公司的作品？
83797#0,京都有哪些国家的大使馆？
3017171#0,第二次世界大战战败国有哪些国家？
3951119#0,中国有哪些大型文艺晚会？
4273320#0,中国和美国哪一年建交？
1557214#0,西藏有哪些旅游景点？
3964090#0,查尔斯河实验室位于哪里？
7074144#0,香港有哪些传统政党？
998123#0,芬兰首都在哪里？
7569730#0,捷克2021年总人口多少？
100615#0,数学家欧拉是哪一国人？
6726344#0,近代诗人高旭有哪些代表作品？
5233990#0,观音菩萨有哪些形象？
1076870#0,世界上人口最多的语种是哪一种？
3639108#0,昌平君有哪些主要成就？
1036497#0,天坛面积多大？
5022653#0,抗日战争以哪一事件为开端？
1236406#0,八大电视哪一年成立？
6633148#0,刚果金的官方语言是哪种？
1861796#0,迈克尔·杰克逊哪一年逝世？
1109483#0,陕西省西安市的邮编是多少？
733907#0,日本迪士尼度假区面积多大？
3064738#0,中影集团旗下有多少影城？
2945997#0,法国最高大楼是哪一栋？
6998689#0,佛教是哪一年传入中国？
577087#0,肝脏有哪些功能？
538679#0,俄罗斯有哪些发达重工业？
3988546#0,欧盟于哪一年成立？
5619509#0,希腊最大的博物馆在哪里？
3053251#0,中国百家姓有哪些？
5296907#0,环球影业总部在哪里？
1121482#0,中国同盟会在哪里成立？
6623443#0,陕西省面积多大？
3937951#0,上海大学哪一年建立？
389100#0,世界上最大的珊瑚礁在哪里？
225308#0,中央人民广播电视台第一任台长是谁？
753999#0,中国最大的互联网公司是哪一个？
197767#0,宾福特足球会哪一年成立？
146484#0,中国战国时代有哪些文学家？
7615260#0,抛硬币为正面的概率多大？
44983#0,《癫狗日报》哪一年创办？
7450689#0,镓铟锡合金熔点多少？
7297553#0,詹姆斯·邦德的第一个扮演者是谁？
4567664#0,美国有哪些宗教性质大学？
6595744#0,Google公司总部位于哪里？
7621156#0,世界卫生组织哪一年成立？
2899050#0,哪一月份出生的人是金牛座？
760231#0,净化水有哪些步骤？
1430328#0,亚青赛第一届是在哪里举办？
7236101#0,俄罗斯有哪些历史学家？
1017380#0,兰陵改名后叫什么？
6139698#0,南朝哪一年结束？
2864873#0,杭州市邮政编码多少？
3982280#0,美国举办过几届奥运会？
1083036#0,甘肃省有多少城市？
1430034#0,西藏哪一年进行土地改革？
5929441#0,秘鲁位于哪一大洲？
3430363#0,波士顿大学有哪些杰出校友？
1133034#0,天主教的人口有多少？
6021244#0,香港三大地理分区有哪些？
3917489#0,江苏有哪些知名高新技术产业？
1893667#0,湖南省的省会是哪里？
3234234#0,南宋四大诗人有谁？
905584#0,行星探测经历了哪些环节？
1543902#0,美国的首都是哪里？
92620#0,重庆的著名小吃有哪些？
6154257#0,日本的女性向游戏有哪些种类？
1517303#0,高跟鞋最开始发明自哪一国家？
5508618#0,内蒙古的省会是哪里？
1550929#0,阿根廷球队有哪些人？
5475464#0,第一次登上月球的人是谁？
3126909#0,真菌感染的原因有哪些？
5612172#0,马来西亚的官方语言是什么？
2786722#0,四川省人口多少？
5987702#0,湖南卫视的知名节目有哪些？
936485#0,苹果公司的创始人是谁？
3066423#0,中国的铁路线有哪些？
4571201#0,苏格兰有哪些美食？
7072142#0,世界上有哪些跨国铁路？
3700085#0,南美洲有哪些国家？
5713712#0,粤港澳大湾区包括哪些城市？
5403482#0,最早登上月球的人是谁？
5559945#0,日本樱花盛开的季节是什么时间？
561236#0,美国有哪些个人护理品牌？
4966889#0,四川省博物馆有哪些藏品？
5996151#0,矩阵可逆的充要条件有哪些？
5057268#0,超声波的应用有哪些？
3935509#0,泰国的首都在哪里？
5189039#0,第一任美国总统是谁？
7704007#0,有哪些对外投资成功的案例？
3263821#0,瑞典有多少个机场？
1050719#0,嘉庆帝的上一任皇帝是谁？
2870805#0,上白垩纪有哪些生物？
1838967#0,以色列有哪些党派？
935930#0,《西游记》中师徒四人经历了多少磨难？
962929#0,天王星的密度多大？
5962930#0,北洋舰队哪一年成立？
1589489#0,太平公主的生父是谁？
218289#0,加拿大属于哪一时区？
1892067#0,俄罗斯最低气温多少？
2872#0,李清照的父亲是谁？
7333927#0,蚂蚁有哪些种类？
5512956#0,加拿大人口最多的城市是哪里？
1090386#0,加拿大有多少华裔？
5175023#0,印尼有多少座岛屿？
694171#0,圣斗士星矢哪一年改编成动画？
2897330#0,时钟座有哪些临近星座？
7116765#0,印度尼西亚属于哪种气候类型？
972202#0,韩国SM公司社长是谁？
3973729#0,美国北方司令部指挥官是谁？
163570#0,青海湖面积多大？
6620112#0,哪些国家盛产橡胶？
5667369#0,法国施耐德公司哪一年成立？
1225643#0,中国有哪些税收政策？
1587153#0,周武王哪一年逝世？
6891752#0,伊朗有哪些语种
6257723#0,台湾最大的船公司是哪一家？
788253#0,俄罗斯有哪些地形特征？
1920538#0,全球最大的大洋是哪一个？
6480978#0,北京有哪些遗址？
1171087#0,大理国哪一年建国？
7622636#0,英格兰玫瑰战争哪一年开始？
1781486#0,几内亚湾面积多大？
325920#0,《绿野仙踪》哪一年上映？
3420363#0,香港青年协会哪一年创办？
715029#0,河北省有多少城市？
490649#0,岭南大学哪一年建校？
5183468#0,浙江省宁波市有多少港口？
681144#0,德国国土面积多大？
6840170#0,英国关于同性恋有哪些法律？
3693424#0,华表奖哪一年成立？
6338911#0,苏格兰有哪些岛屿？
686284#0,儒教起源于哪里？
2975694#0,欧亚大陆总面积多大？
7185209#0,欧盟旗帜有哪些颜色？
5392950#0,江西省省会是哪里？
7256355#0,中国环境科学研究院哪一年成立？
76665#0,肠胃有哪些功能？
389499#0,香港鸡蛋仔有哪些制作原料？
5467888#0,澳大利亚获得游泳冠军最多的运动员是谁？
1266563#0,信和集团的创始人是谁？
5310361#0,南非国土面积多大？
3785996#0,捷克语有哪些特征？
5011501#0,现任法国驻德大使是谁？
7873330#0,意大利有哪些建筑？
1822590#0,罗马天主教在葡萄牙有多少教徒？
4656338#0,德国驻华大使馆在哪里？
3684084#0,赞美·哥勒-施拉与里安·纳逊的第一次合作是哪部影片？
671447#0,基督教哪一年传入中国？
128148#0,法国大革命哪一年结束？
3503114#0,意大利最长的河流多长？
265911#0,《天演论》的作者是谁？
1814014#0,新世界发展集团哪一年创办？
7654748#0,北魏时期有哪些诗人？
3926915#0,法国大革命时期有哪些事件？
852510#0,麻将起源于哪里？
5642275#0,量子力学最先是谁发现的？
5740270#0,清代开国皇帝是谁？
1117619#0,《变形金刚》的导演是谁？
3201307#0,西门子公司总部在哪里？
3978611#0,《哥斯拉》票房收入多少？
2770322#0,欢乐谷在哪些城市建有游乐园？
936404#0,湖南省长沙市有哪些外资企业？
4973996#0,金鸡百花电影节哪一年创办？
5756227#0,镭射最先是谁发现的？
604159#0,香港有哪些新闻节目？
3118751#0,法国最大的城市是哪里？
5693233#0,Windows系统是哪一公司的系统？
5941626#0,秘鲁面积多大？
3803827#0,帕邢定律的发现者是谁？
7297648#0,康熙年间有哪些文学家？
784550#0,俄罗斯人口最多的城市是哪一个？
5489155#0,捷克国歌名字是什么？
7328082#0,中国有哪些现实主义文学流派？
5588897#0,无水物有哪些特征？
4095536#0,美国密苏里州州长是谁？
20344#0,文艺复兴有哪些画作？
1212641#0,现在鳄鱼有哪些种类？
3423816#0,最近一次日全食什么时间发生？
898723#0,高雄市副市长是谁？
6592040#0,俄罗斯与中国签订了哪些条约？
7104247#0,内蒙古省会是哪一城市？
225680#0,道光皇帝的母亲是谁？
6141922#0,百草枯有哪些成分？
396269#0,肠胃炎有哪些治疗手段？
13521#0,白居易有哪些代表作？
7269700#0,中国最大的恐龙化石在哪里发现？
638130#0,克朗奎斯特分类法是谁发现的？
7411652#0,中国传统婚俗有哪些？
3601781#0,日本与越南哪一年建交？
5518993#0,卡塔尔有哪些传统乐器？
7606041#0,软体工程有哪些分类？
2775131#0,免疫系统有哪些作用？
4435443#0,《诗经》的作者是谁？
1446614#0,电影《心灵捕手》的导演是谁？
649416#0,双星系统有哪些特征？
5364445#0,广东省现任省长是谁？
4469232#0,酥油茶有哪些做法？
6403914#0,台湾媒体有哪些公司？
3060941#0,佛教哪一年传入中国？
7384866#0,丹麦的气候有哪些特点？
1083887#0,密克罗尼西亚联邦有哪些州？
5954618#0,英国2012年首相是谁？
4557280#0,瑞士平均海拔多少？
7282441#0,中华民国第二任大总统是谁？
7644931#0,现任国务院总理是谁？
3138164#0,广东省惠州市市长是谁？
1614654#0,湖南省宁乡市市长是谁？
6494806#0,辽宁省现任省委书记是谁？
1564083#0,新加坡国土面积多大？
1026152#0,东亚包括哪些国家？
7127326#0,美国福克斯电视网哪一年成立？
7247345#0,荷兰属于哪种气候类型？
7396039#0,韩国有多少基督教教徒？
5487823#0,傅里叶有哪些成就？
4719587#0,印地语有哪些特点？
614522#0,辽宁省有哪些城市？
417014#0,日本东京面积多大？
5698222#0,三星公司哪一年创办？
552010#0,澳门哪一年回归中国？
6427920#0,肾脏有哪些功能？
5309140#0,俄国有哪些知名画家？
4878405#0,白俄罗斯首都是哪里？
557947#0,互联网最早诞生于哪一年？
1809443#0,有哪些经典的安徒生童话故事？
6092854#0,迪士尼有哪些经典动画作品？
5421085#0,热带水果有哪些？
1510927#0,谁发明了C语言？
1630559#0,脂肪的化学组成是什么？
1063032#0,刘邦哪一年建立汉朝？
552095#0,尚贝里位于哪一个国家？
1274138#0,越南有哪些民族？
35140#0,康熙在位时间有多长？
7140032#0,丹麦首都是哪里？
2855582#0,亚洲的气候类型有哪些？
6717954#0,淋巴细胞有哪些作用？
5251852#0,斐波那契数列是什么？
652192#0,奥地利著名物理学家有哪些？
219906#0,奥斯卡奖的主办方是谁？
3153725#0,第20任美国总统是谁？
1688399#0,地中海周边有哪些国家？
1542340#0,澳大利亚面积有多大？
3974137#0,哥伦布经过了哪些国家？
6604661#0,披头士乐队哪一年成立？
6119934#0,十月革命哪一年爆发？
5207642#0,德国属于什么气候类型？
5406477#0,新北市市长是谁？
3233151#0,非洲第二长流域流经哪里？
283502#0,冥想有哪些功效？
4735238#0,王菲哪一年出道？
1216655#0,2022年冬奥会在哪一城市举办？
329114#0,南北战争有哪些领袖？
244045#0,广东省最大博物馆面积多大？
7629432#0,加利福尼亚州州长是谁？
4798684#0,德国足球队队服什么颜色？
3160617#0,吉隆坡有哪些大学？
5708923#0,印度尼西亚国旗什么颜色？
1024907#0,扎染有哪些方法？
6369208#0,乒乓球运动员樊振东祖籍是哪里？
675853#0,以色列国土面积多大？
998138#0,马克思哪一年出生？
6326165#0,莱昂纳多·迪卡普里奥获得过多少次奥斯卡提名？
582757#0,更年期平均年龄多少？
6051960#0,加勒比海面积多大？
1646860#0,美国现任总统是谁？
735860#0,太平洋战役哪一年结束？
3334120#0,香港亚洲电视哪一年成立？
1812060#0,努尔哈赤哪一年去世？
7222036#0,意大利那不勒斯面积多大？
7774229#0,中国西藏地区平均气温多少？
4294886#0,CBA有哪些篮球队？
989650#0,泰国平均海拔多少？
594662#0,中国最长的铁路是哪一条？
1722647#0,马来西亚最大的体育馆是哪里？
97130#0,日本有哪些全球流行的动漫？
687969#0,法国的国歌是什么？
772302#0,马来西亚国歌是什么？
6203949#0,特兰西瓦尼亚面积多大？
5220858#0,奥迪的创始人是谁？
302015#0,玄武之变哪一年发生？
5664784#0,陀螺有哪些种类？
1792403#0,德国有多少城市？
1556018#0,三角函数有哪些公式？
5683998#0,《青春创世纪》专辑销量多少？
4711398#0,哥斯达黎加面积多大？
4558665#0,德国的国歌是什么？
1577523#0,英超联赛哪一年创立？
1280290#0,罗马面积多大？
3423864#0,日环食下一次预测时间是什么时候？
687030#0,AFI百年百大电影第一名是什么？
3461240#0,墨西哥首都面积多大？
7855720#0,古希腊的首都在哪里？
